;Index,County,YEAR,HH,HH_Pop,HH_Size,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CoName
352014,35,2014,370358,1061856,2.87,816283,78669,44573,56949,65224,91011,123196,64512,207937,811,3648,45408,34345,Salt Lake County
352015,35,2015,377727,1075422,2.85,842454,80799,45725,58581,67055,94683,126953,66922,214308,816,3717,47327,35568,Salt Lake County
352016,35,2016,384853,1089411,2.83,870480,83096,46969,60338,69028,98584,130986,69490,221144,823,3792,49362,36868,Salt Lake County
352017,35,2017,393007,1107373,2.82,897856,85320,48172,62043,70940,102434,134914,72016,227806,828,3863,51376,38144,Salt Lake County
352018,35,2018,401477,1125815,2.8,923243,87345,49261,63607,72690,106076,138539,74392,233956,830,3925,53284,39338,Salt Lake County
352019,35,2019,409775,1143738,2.79,946771,89186,50244,65038,74288,109518,141882,76623,239628,831,3978,55096,40459,Salt Lake County
352020,35,2020,417737,1160882,2.78,968669,90867,51138,66355,75754,112785,144977,78728,244884,830,4023,56821,41507,Salt Lake County
352021,35,2021,425812,1177487,2.77,988451,92294,51829,67252,76878,116355,147958,80660,249793,826,4041,58066,42499,Salt Lake County
352022,35,2022,433293,1192250,2.75,1006066,93511,52402,67994,77826,119689,150616,82420,254151,822,4049,59186,43400,Salt Lake County
352023,35,2023,440261,1205333,2.74,1021953,94562,52880,68615,78638,122832,153014,84043,258073,815,4050,60206,44225,Salt Lake County
352024,35,2024,446822,1217152,2.72,1036793,95514,53302,69161,79364,125857,155258,85581,261730,808,4046,61163,45009,Salt Lake County
352025,35,2025,453018,1228016,2.71,1051045,96409,53692,69666,80044,128818,157412,87073,265237,799,4039,62088,45768,Salt Lake County
352026,35,2026,459508,1239613,2.7,1064953,97269,54062,70146,80695,131745,159515,88539,268658,790,4031,62993,46510,Salt Lake County
352027,35,2027,465930,1250829,2.68,1078536,98100,54415,70603,81320,134636,161569,89979,271996,782,4021,63877,47238,Salt Lake County
352028,35,2028,472403,1261802,2.67,1091776,98898,54749,71035,81917,137487,163573,91391,275247,773,4009,64742,47955,Salt Lake County
352029,35,2029,478870,1272560,2.66,1104768,99671,55071,71450,82495,140312,165539,92783,278435,763,3997,65594,48658,Salt Lake County
352030,35,2030,485419,1283264,2.64,1117581,100428,55381,71853,83058,143117,167477,94160,281578,754,3984,66434,49357,Salt Lake County
352031,35,2031,492176,1293985,2.63,1130255,101273,55717,72020,83433,146484,169467,95332,284725,746,3958,67025,50075,Salt Lake County
352032,35,2032,499020,1304798,2.61,1142802,102109,56044,72174,83794,149844,171438,96493,287839,738,3932,67606,50791,Salt Lake County
352033,35,2033,505917,1315539,2.6,1155202,102931,56364,72315,84140,153194,173386,97642,290916,731,3904,68179,51500,Salt Lake County
352034,35,2034,512717,1326159,2.59,1167432,103732,56674,72442,84472,156531,175310,98778,293950,722,3876,68742,52203,Salt Lake County
352035,35,2035,519162,1336648,2.57,1179491,104519,56973,72556,84790,159853,177209,99899,296941,714,3846,69293,52898,Salt Lake County
352036,35,2036,525429,1347057,2.56,1191379,105291,57262,72656,85092,163160,179082,101007,299887,706,3816,69834,53586,Salt Lake County
352037,35,2037,531593,1357453,2.55,1203092,106042,57544,72744,85380,166449,180930,102099,302790,697,3785,70363,54269,Salt Lake County
352038,35,2038,537753,1367858,2.54,1214632,106779,57815,72818,85652,169720,182750,103177,305650,689,3754,70883,54945,Salt Lake County
352039,35,2039,543808,1378345,2.53,1225995,107501,58077,72880,85911,172973,184546,104242,308464,679,3721,71392,55609,Salt Lake County
352040,35,2040,549704,1388939,2.53,1237180,108205,58329,72929,86157,176205,186314,105291,311234,671,3688,71889,56268,Salt Lake County
352041,35,2041,555540,1399612,2.52,1248186,108904,58583,72862,86225,180045,188030,106156,313980,665,3655,72129,56952,Salt Lake County
352042,35,2042,561128,1410325,2.51,1259011,109585,58828,72783,86279,183864,189718,107008,316678,659,3622,72357,57630,Salt Lake County
352043,35,2043,566450,1420847,2.51,1269653,110254,59063,72690,86318,187662,191379,107842,319333,652,3588,72574,58298,Salt Lake County
352044,35,2044,571804,1431765,2.5,1280110,110900,59290,72586,86344,191440,193012,108661,321940,645,3553,72781,58958,Salt Lake County
352045,35,2045,577038,1442987,2.5,1290380,111535,59506,72469,86356,195192,194617,109463,324500,638,3518,72974,59612,Salt Lake County
352046,35,2046,582275,1454460,2.5,1300461,112150,59715,72341,86353,198920,196194,110251,327011,632,3482,73157,60255,Salt Lake County
352047,35,2047,587464,1466134,2.5,1310349,112747,59913,72202,86338,202622,197741,111021,329475,625,3446,73328,60891,Salt Lake County
352048,35,2048,592713,1477957,2.49,1320044,113331,60102,72050,86308,206295,199259,111774,331891,618,3409,73488,61519,Salt Lake County
352049,35,2049,598092,1489883,2.49,1329541,113896,60283,71888,86266,209939,200749,112511,334256,611,3371,73637,62134,Salt Lake County
352050,35,2050,603491,1501860,2.49,1338838,114443,60455,71715,86209,213552,202207,113231,336572,603,3333,73776,62742,Salt Lake County
352051,35,2051,609244,1514880,2.49,1347931,114937,60600,71516,86082,217514,203576,113855,338786,598,3296,73809,63362,Salt Lake County
352052,35,2052,614954,1527615,2.48,1356817,115412,60735,71307,85942,221442,204916,114461,340951,592,3259,73834,63966,Salt Lake County
352053,35,2053,620748,1540008,2.48,1365492,115871,60863,71087,85787,225332,206223,115048,343061,586,3221,73846,64567,Salt Lake County
